city,description
Addis-Ababa,"Rising dramatically from the roundabout Siddist Kilo is this moving monument, dedicated to the thousands of innocent Ethiopians killed by the Italians as…"
Addis-Ababa,"Despite only being founded on Addis' centenary in 1986, the Addis Ababa Museum is the city’s scruffiest museum. That said, perusing candid portraits of…"
Addis-Ababa,"Unless you've a particular interest in Ethiopia's animals and birdlife, this is more a case of rainy day tourism. Go eye to eye with a bloated leopard –…"
Addis-Ababa,"The octagonal Entoto Maryam Church hosted Menelik’s coronation, but sadly for a church of such historical significance, the only time you can catch a…"
Addis-Ababa,"This rather dusty museum has the usual collection of royal garments, valuable coins, ceremonial drums, poor lighting and bored-looking attendants, but…"
Addis-Ababa,"The unremarkable new church on this site is far less interesting than the reconstructed original, complete with Aksumite architectural traces, alongside…"
Addis-Ababa,"Shelves groan under the weight of 20,000 books on Ethiopia. The English-language section is quite good."
Addis-Ababa,An important local landmark in the city's east.
Addis-Ababa,Facing the entrance to the Holy Trinity Cathedral is the tomb of the famous British suffragette Sylvia Pankhurst. Pankhurst was one of the very few people…
Addis-Ababa,Addis Ababa's expansive university is the country's largest and most prestigious. The academic year runs roughly from October to May. The university also…
Addis-Ababa,A thin stand of greenery opposite the presidential palace.
Addis-Ababa,"Stadium in the north of Addis Ababa, where major celebrations and horse races take place."
Addis-Ababa,This is where the Ethiopian president lives. Don't even think of taking a photo.
Addis-Ababa,Museum museum
Addis-Ababa,Church church
Addis-Ababa,Monument monument
Addis-Ababa,Market market
Addis-Ababa,University university
Addis-Ababa,Palace palace
Addis-Ababa,Hall hall
Jimma,Cultural Festival
Jimma,Innovation Center
Jimma,Social Innovation Center
Jimma,Historical Landmarks
Jimma,Outdoor Adventure Center
Jimma,Cultural Fair
Jimma,Cultural Village
Jimma,Cultural Exchange Program
Jimma,Nature Reserve
Jimma,Community Development Center
Jimma,Music Center
Jimma,Art Institute
Jimma,Heritage Center
Jimma,Culinary Center
Jimma,Cultural District
Jimma,Eco-Center
Jimma,Cultural Workshop Center
Jimma,Cultural Heritage Trail
Jimma,Coffee Plantations
Jimma,Botanical Garden
Jimma,Central Mosque
Jimma,Spa Resort
Jimma,Golf Club
Jimma,Waterfalls
Jimma,Central Market
Jimma,Palace Museum
Jimma,Cultural Center
Jimma,Archaeological Site
Jimma,Ethnographic Museum
Jimma,Night Market
Jimma,Wildlife Sanctuary
Jimma,Sports Complex
Jimma,Medical Museum
Jimma,Science and Technology Museum
Jimma,Environmental Center
Jimma,Community Library
Jimma,Diplomatic Center
Jimma,Fashion Center
Jimma,Urban Development Museum
Jimma,Film Festival
Jimma,Astronomy Observatory
Jimma,Youth Center
Jimma,Social Enterprise Center
Jimma,Architectural Heritage Sites
Jimma,Community Garden
Jimma,Cultural Institute
Jimma,Music Hall
Jimma,Education Center
Jimma,Environmental Education Center
Jimma,Culinary Institute
Jimma,Art Gallery
Jimma,Historical Museum
Jimma,Community Development Center
Jimma,Cultural Exchange Institute
Jimma,Cultural Festival Grounds
Jimma,Art Institute
Jimma,Heritage Center
Jimma,Culinary Center
Jimma,Cultural District
Jimma,Eco-Center
Jimma,Cultural Workshop Center
Jimma,Cultural Festival
Jimma,Innovation Center
Jimma,Social Innovation Center
Jimma,Historical Landmarks
Jimma,Outdoor Adventure Center
Jimma,Cultural Fair
Jimma,Cultural Village
Jimma,Cultural Exchange Program
Jimma,Nature Reserve
Jimma,Community Development Center
Jimma,Music Center
Jimma,Art Institute
Jimma,Heritage Center
Jimma,Culinary Center
Jimma,Cultural District
Jimma,Eco-Center
Jimma,Cultural Workshop Center
Jimma,Cultural Heritage Trail
Jimma,Cultural Festival Grounds
Jimma,Coffee Plantations
Jimma,Botanical Garden
Jimma,Central Mosque
Jimma,Spa Resort
Jimma,Golf Club
Jimma,Waterfalls
Jimma,Central Market
Jimma,Palace Museum
Jimma,Cultural Center
Jimma,Archaeological Site
Jimma,Ethnographic Museum
Jimma,Night Market
Jimma,Wildlife Sanctuary
Jimma,Sports Complex
Jimma,Medical Museum
Jimma,Science and Technology Museum
Jimma,Environmental Center
Jimma,Community Library
Jimma,Diplomatic Center
Jimma,Fashion Center
Jimma,Urban Development Museum
Jimma,Film Festival
Jimma,Astronomy Observatory
Jimma,Youth Center
Jimma,Social Enterprise Center
Jimma,Architectural Heritage Sites
Jimma,Community Garden
Jimma,Cultural Institute
Jimma,Music Hall
Jimma,Education Center
Jimma,Environmental Education Center
Jimma,Culinary Institute
Jimma,Art Gallery
Jimma,Historical Museum
Jimma,Community Development Center
Jimma,Cultural Exchange Institute
Jimma,Cultural Festival Grounds
Axum,Cultural Festival
Axum,Stele Park
Axum,Obelisks of Axum
Axum,King Ezana's Inscriptions
Axum,Axum Archaeological Museum
Axum,Dungur Palace
Axum,Church of St. Mary of Zion
Axum,Queen of Sheba's Palace
Axum,Axumite Baths
Axum,Great Stelae Field
Axum,House of the Ark of the Covenant
Axum,The Chapel of the Tablet
Axum,Axum Obelisk (Rome)
Axum,Ruins of Ancient Axum
Axum,Axumite Heritage Park
Axum,Monastery of Abba Pantaleon
Axum,Axum Tsion Mariam Church
Axum,Chapel of the Tablet
Axum,Ruins of Queen Sheba
Axum,St. Mary of Zion Cathedral
Axum,Ark of the Covenant
Axum,Queen Sheba Palace
Axum,Queen of Sheba's Palace
Axum,Queen of Sheba museum
Axum,Axumite cuisine and traditional dishes
Axum,Exploring local markets and food stalls
Axum,Participating in traditional coffee ceremonies
Axum,Visiting local cafes and restaurants
Axum,Shopping for local handicrafts and souvenirs
Axum,Hiking and nature trails around Axum
Axum,Exploring nearby villages and communities
Axum,Photographing the scenic landscapes and historical sites
Axum,Attending local cultural events and performances
Axum,Visiting archaeological sites and ruins
Axum,Guided tours of historical landmarks
Axum,Enjoying moderate temperatures year-round 20°C - 25°C
